"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Granite","(918) 627-2858","https://www.yellowpages.com/tulsa-ok/mip/granite-470297742","Swimming Pool Designing & Consulting,Swimming Pool Manufacturers & Distributors","","","1635 S 89th East Ave","Tulsa","OK","74112","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"2. ","All Stone Granite","(918) 622-7277","https://www.yellowpages.com/tulsa-ok/mip/all-stone-granite-15993228?lid=1001822983708","Granite,Stone Products,Home Improvements","","","4225 S Sheridan Rd","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"3. ","Mill Creek Granite & Stone Co","(918) 622-5644","https://www.yellowpages.com/tulsa-ok/mip/mill-creek-granite-stone-co-1493781","Granite,Masonry Equipment & Supplies,Stone Natural","","","7005 E 40th St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"4. ","Crafts Granite & Marble","(918) 665-0102","https://www.yellowpages.com/tulsa-ok/mip/crafts-granite-marble-24193387","Granite,Marble-Natural,Tile-Contractors & Dealers","https://www.craftsgranite.com/contact","","9950 E 55th Pl","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"5. ","Tulsa  Granite LLC","(918) 413-0289","https://www.yellowpages.com/tulsa-ok/mip/tulsa-granite-llc-502946495","Granite,Cabinet Makers,Counter Tops","http://tulsagranite.com/index.php","","10325 E 49th St","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"6. ","Mr. Granite Rocks","(918) 899-2304","https://www.yellowpages.com/tulsa-ok/mip/mr-granite-rocks-563660474","Granite,Counter Tops","http://mrgraniterocks.com","","6568 E 40th St Unit A","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"7. ","Countertop Specialties, Inc.","(918) 382-0037","https://www.yellowpages.com/tulsa-ok/mip/countertop-specialties-inc-497739959","Granite,Counter Tops","http://www.countertopspecialties.net","","1323 E 5th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"8. ","Artisan Stoneworks","(918) 694-3272","https://www.yellowpages.com/tulsa-ok/mip/artisan-stoneworks-491793741","Granite,Marble-Natural","","","1406 E 6th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"9. ","Bogart Granite & Marble","(918) 712-5060","https://www.yellowpages.com/tulsa-ok/mip/bogart-granite-marble-573341041","Granite,Counter Tops","","","4702 S Columbia Pl","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"10. ","Mill Creek Granite","(918) 622-5644","https://www.yellowpages.com/tulsa-ok/mip/mill-creek-granite-542842334","Granite","https://millcreekgranite.com/location-tulsa-46st","","4706 W 46th St","Tulsa","OK","74107","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"11. ","Aztec Industries Inc","(918) 794-1719","https://www.yellowpages.com/tulsa-ok/mip/aztec-industries-inc-524815327","Granite,Kitchen Planning & Remodeling Service,Cultured Marble","http://www.aztec-ind.com","","1826 N 106th East Ave","Tulsa","OK","74116","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"12. ","Granite-Share","(918) 851-0179","https://www.yellowpages.com/tulsa-ok/mip/granite-share-542358750","Granite","","","5155 S 94th East Ave","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"13. ","Stonemen Granite & Marble","(918) 851-3400","https://www.yellowpages.com/tulsa-ok/mip/stonemen-granite-marble-515497372","Granite,Counter Tops,Marble-Natural","http://www.stonemengranite.com/Granite-Countertops-Tulsa-OK.html","","4702 S 103rd East Ave","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"14. ","Elganza","(918) 551-7422","https://www.yellowpages.com/tulsa-ok/mip/elganza-516466467","Granite","http://www.eleganzagranite.com","","9950 E 55th Pl","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"15. ","Ashton Granite Design","(918) 986-8550","https://www.yellowpages.com/tulsa-ok/mip/ashton-granite-design-510240574","Granite","","","111 S 147th East Ave","Tulsa","OK","74116","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"16. ","Hoffman Fixtures Company","(918) 252-0451","https://www.yellowpages.com/tulsa-ok/mip/hoffman-fixtures-company-21622325","Granite","http://www.hfccountertops.com","","6031 S 129th East Ave Unit B","Tulsa","OK","74134","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"17. ","Admiral Monument","(918) 835-7755","https://www.yellowpages.com/tulsa-ok/mip/admiral-monument-5546278","Granite","","","4116 E Admiral Pl","Tulsa","OK","74115","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"18. ","Timeless Surfaces","(918) 665-8453","https://www.yellowpages.com/tulsa-ok/mip/timeless-surfaces-21981998","Granite,Tile-Contractors & Dealers,Flooring Contractors","","","5460 S Garnett Rd Ste M","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
