"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Caz's Chowhouse","(918) 588-2469","https://www.yellowpages.com/tulsa-ok/mip/cazs-chowhouse-673924","Restaurants,American Restaurants,Bars","http://www.cazschowhouse.com","","18 E Reconciliation Way","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"2. ","The Cheesecake Factory","(918) 249-2300","https://www.yellowpages.com/tulsa-ok/mip/the-cheesecake-factory-451348484","Restaurants,American Restaurants,Dessert Restaurants","https://www.thecheesecakefactory.com","","8711 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"3. ","Juniper","(918) 794-1090","https://www.yellowpages.com/tulsa-ok/mip/juniper-465489273","Restaurants,American Restaurants,Family Style Restaurants","http://www.junipertulsa.com","","324 E 3rd St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"4. ","Cattleman's Steakhouse","(918) 622-4000","https://www.yellowpages.com/tulsa-ok/mip/cattlemans-steakhouse-451513786","Restaurants,Steak Houses","http://www.cattlemanssteakhouse.com","","3332 S 79th East Ave","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"5. ","Joe's Crab Shack","(918) 252-1010","https://www.yellowpages.com/tulsa-ok/mip/joes-crab-shack-15627297","Restaurants,Seafood Restaurants,American Restaurants","http://www.joescrabshack.com","","7646 E 61st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"6. ","Back Alley Blues & BBQ","(918) 574-2525","https://www.yellowpages.com/tulsa-ok/mip/back-alley-blues-bbq-464693194","Restaurants,Barbecue Restaurants","","","116 S Elgin Ave","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"7. ","The Spudder Restaurant","(918) 665-1416","https://www.yellowpages.com/tulsa-ok/mip/the-spudder-restaurant-13589727","Restaurants","http://www.thespudder.com","","6536 E 50th St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"8. ","Bluestone Steakhouse & Seafood","(918) 296-9889","https://www.yellowpages.com/tulsa-ok/mip/bluestone-steakhouse-seafood-17165254","Restaurants,Steak Houses,Bars","https://www.bluestonesteakhouse.com","","10032 S Sheridan Rd","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"9. ","Texas Roadhouse","(918) 461-8891","https://www.yellowpages.com/tulsa-ok/mip/texas-roadhouse-13261099","Restaurants,Barbecue Restaurants,American Restaurants","https://www.texasroadhouse.com/locations/oklahoma/tulsa-east-71st-st?utm_source=listing&utm_medium=search","","11111 E. 71st Street South","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"10. ","SMOKE. on Cherry St.","(918) 949-4440","https://www.yellowpages.com/tulsa-ok/mip/smoke-on-cherry-st-472010994","Restaurants,American Restaurants","http://www.smokewoodfiregrill.com","","1542 E 15th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
